family,submodel,assumption,expression_latex,biological_meaning,status
gllvm_gaussian,,missing_response_cells,"M_{it} \perp Y_{it} \mid X,\, \mathbf{z}_i","Missing trait values are assumed missing at random given the predictors and latent scores. Informative missingness violates this.",not_checked
gllvm_gaussian,Sigma_B,covariance_decomposition,"\boldsymbol{\Sigma}_B = \boldsymbol{\Lambda}_B \boldsymbol{\Lambda}_B^\top + \boldsymbol{\Psi}_B","The implied between-unit trait covariance decomposes into a shared low-rank part (Lambda_B Lambda_B^T) and trait-specific unique variances (Psi_B). The interpretation is at the covariance level, not the per-observation level.",stated
gllvm_gaussian,mu,link_scale_gaussian,"\mu_t = \mathbb{E}[Y_t \mid \mathbf{z},\, \ldots] \text{ on identity scale}","For gaussian traits, mu is on the identity (data) scale. Loadings interpret in the same units as the trait.",stated
biv_gaussian,,conditional_distribution,"(Y_{1i}, Y_{2i}) \mid \mu_{1i}, \mu_{2i}, \sigma_{1i}, \sigma_{2i}, \rho_{12,i} \sim \mathcal{N}_2((\mu_{1i}, \mu_{2i}), \Sigma_i)","The two responses ({response_1}, {response_2}) jointly vary as a bivariate normal around their expected values with correlated residuals",stated
biv_gaussian,mu1,linear_predictor_mu1,"\mu_{1i} = \beta_{1,0} + \sum_k \beta_{1,k} X_{ki}",Expected {response_1} is a linear combination of the first mean-model predictors,stated
biv_gaussian,mu2,linear_predictor_mu2,"\mu_{2i} = \beta_{2,0} + \sum_k \beta_{2,k} X_{ki}",Expected {response_2} is a linear combination of the second mean-model predictors,stated
biv_gaussian,sigma1,linear_predictor_sigma1,"\log(\sigma_{1i}) = \gamma_{1,0} + \sum_k \gamma_{1,k} Z_{ki}",Log residual SD of {response_1} is a linear combination of the first scale-model predictors,stated
biv_gaussian,sigma2,linear_predictor_sigma2,"\log(\sigma_{2i}) = \gamma_{2,0} + \sum_k \gamma_{2,k} Z_{ki}",Log residual SD of {response_2} is a linear combination of the second scale-model predictors,stated
biv_gaussian,rho12,linear_predictor_rho12,"\mathrm{tanh}^{-1}(\rho_{12,i}) = \rho_0 + \sum_k \rho_k W_{ki}",Fisher-z transformed residual correlation between {response_1} and {response_2} is a linear combination of the correlation-model predictors,stated
biv_gaussian,rho12,residual_correlation_range,"\rho_{12} \in (-1, 1)","The residual correlation is constrained to (-1, 1) via the tanh inverse (atanh_guarded) link",implied
biv_gaussian,,residual_decomposition,"\Sigma_i = \begin{pmatrix}\sigma_{1i}^2 & \rho_{12,i}\sigma_{1i}\sigma_{2i} \\ \rho_{12,i}\sigma_{1i}\sigma_{2i} & \sigma_{2i}^2\end{pmatrix}","The 2x2 residual covariance is built from the two SDs and their correlation",stated
biv_gaussian,,independence_across_observations,"(Y_{1i}, Y_{2i}) \perp (Y_{1j}, Y_{2j}) \mid X \text{ for } i \ne j",Pairs of observations are conditionally independent given the predictors,implied
biv_gaussian,,no_missing_at_random,—,Observations are assumed not missing in a way that depends on the unobserved responses,not_checked
student,,conditional_distribution,"{response_symbol} \mid \mu_i\, \sigma_i\, \nu_i \sim \mathrm{Student\text{-}t}(\mu_i\, \sigma_i\, \nu_i)",{response} follows a Student-t distribution around its expected value with heavier tails than Gaussian when nu is small,stated
student,mu,linear_predictor,\mu_i = \beta_0 + \sum_k \beta_k X_{ki},Expected {response} is a linear combination of the mean-model predictors,stated
student,sigma,linear_predictor,\log(\sigma_i) = \gamma_0 + \sum_k \gamma_k Z_{ki},Log residual scale of {response} is a linear combination of the scale-model predictors,stated
student,nu,linear_predictor,\log(\nu_i - 2) = \delta_0 + \sum_k \delta_k V_{ki},"Log of (degrees of freedom minus 2) is a linear combination of the nu-model predictors; the predictor lives on the log(nu - 2) scale so that nu > 2 is always enforced",stated
student,,independence,{response_symbol} \perp {response_symbol_j} \mid X \text{ for } i \ne j,Observations are conditionally independent given the predictors,implied
student,,independence_given_random_effects,"{response_symbol} \perp {response_symbol_j} \mid X\, \mathbf{u} \text{ for } i \ne j",Observations are conditionally independent given the predictors and the random effects,stated
student,sigma,positivity,\sigma_i > 0,Residual scale is constrained positive via the log link,implied
student,nu,positivity_and_finite_variance,\nu_i > 2,"Degrees of freedom > 2 is enforced via the log(nu - 2) link; this in turn guarantees that the modelled variance nu/(nu - 2) * sigma^2 is finite",implied
student,,no_missing_at_random,—,Observations are assumed not missing in a way that depends on the unobserved response,not_checked
lognormal,,conditional_distribution,"{response_symbol} \mid \mu_i\, \sigma_i \sim \mathrm{Lognormal}(\mu_i\, \sigma_i^2)","{response} is positive; log({response}) is normally distributed with mean mu_i and SD sigma_i",stated
lognormal,,positivity_of_response,{response_symbol} > 0,"Response is strictly positive (the lognormal support); a zero or negative {response} value will error at fit time, not at symbolize time",implied
lognormal,mu,linear_predictor,\mu_i = \beta_0 + \sum_k \beta_k X_{ki},"mu_i is the mean of log({response}); a unit change in a predictor moves log({response}) by beta on the log scale and multiplies the geometric mean of {response} by exp(beta)",stated
lognormal,sigma,linear_predictor,\log(\sigma_i) = \gamma_0 + \sum_k \gamma_k Z_{ki},"sigma_i is the SD of log({response}); the log link enforces sigma_i > 0",stated
lognormal,,independence,{response_symbol} \perp {response_symbol_j} \mid X \text{ for } i \ne j,Observations are conditionally independent given the predictors,implied
lognormal,,independence_given_random_effects,"{response_symbol} \perp {response_symbol_j} \mid X\, \mathbf{u} \text{ for } i \ne j",Observations are conditionally independent given the predictors and the random effects,stated
lognormal,sigma,positivity,\sigma_i > 0,Residual SD of log({response}) is constrained positive via the log link,implied
lognormal,,no_missing_at_random,—,Observations are assumed not missing in a way that depends on the unobserved response,not_checked
Gamma,,conditional_distribution,"{response_symbol} \mid \mu_i\, \sigma_i \sim \mathrm{Gamma}(\mathrm{shape}=1/\sigma_i^2\, \mathrm{scale}=\mu_i \sigma_i^2)","{response} is positive continuous and right-skewed; mean is mu_i and the coefficient of variation is roughly sigma_i (when sigma_i is small)",stated
Gamma,,positivity_of_response,{response_symbol} > 0,"{response} is strictly positive (the Gamma support); zero or negative values will error at fit time, not at symbolize time",implied
Gamma,mu,linear_predictor,\log(\mu_i) = \beta_0 + \sum_k \beta_k X_{ki},"log link on mu; mu_i is the mean of {response}; a unit change in a predictor multiplies the mean by exp(beta)",stated
Gamma,sigma,linear_predictor,\log(\sigma_i) = \gamma_0 + \sum_k \gamma_k Z_{ki},"sigma_i is the Gamma dispersion on the log scale; larger sigma means more spread for the same mu",stated
Gamma,,independence,{response_symbol} \perp {response_symbol_j} \mid X \text{ for } i \ne j,Observations are conditionally independent given the predictors,implied
Gamma,,independence_given_random_effects,"{response_symbol} \perp {response_symbol_j} \mid X\, \mathbf{u} \text{ for } i \ne j",Observations are conditionally independent given the predictors and the random effects,stated
Gamma,sigma,positivity,\sigma_i > 0,Dispersion is constrained positive via the log link,implied
Gamma,,no_missing_at_random,—,Observations are assumed not missing in a way that depends on the unobserved response,not_checked
beta,,conditional_distribution,"{response_symbol} \mid \mu_i\, \sigma_i \sim \mathrm{Beta}(\mu_i \sigma_i\, (1 - \mu_i) \sigma_i)","{response} is a proportion in (0, 1); mu_i is the mean and sigma_i is the precision (larger sigma -> tighter around mu)",stated
beta,,support_of_response,{response_symbol} \in (0\, 1),"{response} is strictly between 0 and 1; exact 0 or 1 values will error at fit time, not at symbolize time",implied
beta,mu,linear_predictor,\mathrm{logit}(\mu_i) = \beta_0 + \sum_k \beta_k X_{ki},"logit link on mu; mu_i is the mean proportion; a unit change in a predictor changes the log-odds of mu by beta and multiplies the odds by exp(beta)",stated
beta,sigma,linear_predictor,\log(\sigma_i) = \gamma_0 + \sum_k \gamma_k Z_{ki},"sigma_i is the Beta precision on the log scale; larger sigma_i means the distribution is tighter around mu_i",stated
beta,,independence,{response_symbol} \perp {response_symbol_j} \mid X \text{ for } i \ne j,Observations are conditionally independent given the predictors,implied
beta,,independence_given_random_effects,"{response_symbol} \perp {response_symbol_j} \mid X\, \mathbf{u} \text{ for } i \ne j",Observations are conditionally independent given the predictors and the random effects,stated
beta,sigma,positivity,\sigma_i > 0,Precision is constrained positive via the log link,implied
beta,,no_missing_at_random,—,Observations are assumed not missing in a way that depends on the unobserved response,not_checked
poisson,,conditional_distribution,"{response_symbol} \mid \mu_i \sim \mathrm{Poisson}(\mu_i)","{response} is a non-negative count; mu_i is the expected count, and the variance also equals mu_i (no dispersion parameter)",stated
poisson,,non_negative_integer_response,{response_symbol} \in \{0\, 1\, 2\, \ldots\},"{response} is a non-negative integer count; non-integer or negative values will error at fit time, not at symbolize time",implied
poisson,mu,linear_predictor,\log(\mu_i) = \beta_0 + \sum_k \beta_k X_{ki},"log link on mu; mu_i is the expected count of {response}; a unit change in a predictor multiplies the expected count by exp(beta)",stated
poisson,,variance_equals_mean,\mathrm{Var}({response_symbol}) = \mu_i,"Poisson has variance equal to its mean; if the data are overdispersed (variance > mean), prefer nbinom2",your_responsibility
poisson,,independence,{response_symbol} \perp {response_symbol_j} \mid X \text{ for } i \ne j,Observations are conditionally independent given the predictors,implied
poisson,,independence_given_random_effects,"{response_symbol} \perp {response_symbol_j} \mid X\, \mathbf{u} \text{ for } i \ne j",Observations are conditionally independent given the predictors and the random effects,stated
poisson,,no_missing_at_random,—,Observations are assumed not missing in a way that depends on the unobserved response,not_checked
nbinom2,,conditional_distribution,"{response_symbol} \mid \mu_i\, \sigma_i \sim \mathrm{NegBin}(\mu_i\, \mathrm{size}=\exp(\sigma_i))","{response} is a non-negative count with overdispersion; mean = mu_i; Var({response}) = mu_i + mu_i^2 / exp(sigma_i)",stated
nbinom2,,non_negative_integer_response,{response_symbol} \in \{0\, 1\, 2\, \ldots\},"{response} is a non-negative integer count; non-integer or negative values will error at fit time, not at symbolize time",implied
nbinom2,mu,linear_predictor,\log(\mu_i) = \beta_0 + \sum_k \beta_k X_{ki},"log link on mu; mu_i is the expected count of {response}; a unit change in a predictor multiplies the expected count by exp(beta)",stated
nbinom2,sigma,linear_predictor,\log(\sigma_i) = \gamma_0 + \sum_k \gamma_k Z_{ki},"sigma_i parameterises overdispersion on the log scale; small exp(sigma_i) (close to zero) means highly overdispersed, very large exp(sigma_i) approaches Poisson",stated
nbinom2,,independence,{response_symbol} \perp {response_symbol_j} \mid X \text{ for } i \ne j,Observations are conditionally independent given the predictors,implied
nbinom2,,independence_given_random_effects,"{response_symbol} \perp {response_symbol_j} \mid X\, \mathbf{u} \text{ for } i \ne j",Observations are conditionally independent given the predictors and the random effects,stated
nbinom2,sigma,positivity,\sigma_i > 0 \text{ unconstrained on log scale},Sigma_i is unconstrained on the log scale; exp(sigma_i) is the size parameter (> 0),implied
nbinom2,,no_missing_at_random,—,Observations are assumed not missing in a way that depends on the unobserved response,not_checked
beta_binomial,,conditional_distribution,"{response_symbol} \mid N_i\, \mu_i\, \sigma_i \sim \mathrm{BetaBinomial}(N_i\, \mu_i\, \sigma_i)","{response} is the number of successes out of N_i trials; mean is N_i mu_i and the variance is inflated relative to a binomial by the overdispersion parameterised through sigma_i",stated
beta_binomial,,trial_count_known,N_i \text{ specified per row via } \mathrm{cbind}(\text{successes}\, \text{failures}),"The number of trials per observation must be known and specified at fit time; this is a property of the data, not a model parameter",your_responsibility
beta_binomial,mu,linear_predictor,\mathrm{logit}(\mu_i) = \beta_0 + \sum_k \beta_k X_{ki},"logit link on mu; mu_i is the mean success probability; a unit change in a predictor multiplies the odds by exp(beta)",stated
beta_binomial,sigma,linear_predictor,\log(\sigma_i) = \gamma_0 + \sum_k \gamma_k Z_{ki},"sigma_i is the Beta-binomial precision on the log scale; large sigma approaches binomial, small sigma indicates strong overdispersion",stated
beta_binomial,,independence,{response_symbol} \perp {response_symbol_j} \mid X \text{ for } i \ne j,Observations are conditionally independent given the predictors,implied
beta_binomial,,independence_given_random_effects,"{response_symbol} \perp {response_symbol_j} \mid X\, \mathbf{u} \text{ for } i \ne j",Observations are conditionally independent given the predictors and the random effects,stated
beta_binomial,sigma,positivity,\sigma_i > 0,Precision is constrained positive via the log link,implied
beta_binomial,,no_missing_at_random,—,Observations are assumed not missing in a way that depends on the unobserved response,not_checked
truncated_nbinom2,,conditional_distribution,"{response_symbol} \mid \mu_i\, \sigma_i \sim \mathrm{NegBin}^{+}(\mu_i\, \mathrm{size}=\exp(\sigma_i))","{response} is a positive count with overdispersion; the truncation excludes zero counts from the likelihood",stated
truncated_nbinom2,,positive_integer_response,{response_symbol} \in \{1\, 2\, 3\, \ldots\},"{response} is a strictly positive integer count; zero or negative values will error at fit time (the truncation is part of the likelihood, not a data filter)",implied
truncated_nbinom2,mu,linear_predictor,\log(\mu_i) = \beta_0 + \sum_k \beta_k X_{ki},"log link on mu; mu_i is the mean of the untruncated negative binomial (the truncated mean is larger); a unit change in a predictor multiplies the untruncated mean by exp(beta)",stated
truncated_nbinom2,sigma,linear_predictor,\log(\sigma_i) = \gamma_0 + \sum_k \gamma_k Z_{ki},"sigma_i parameterises overdispersion on the log scale; the size parameter of the truncated negative binomial is exp(sigma_i)",stated
truncated_nbinom2,,independence,{response_symbol} \perp {response_symbol_j} \mid X \text{ for } i \ne j,Observations are conditionally independent given the predictors,implied
truncated_nbinom2,,independence_given_random_effects,"{response_symbol} \perp {response_symbol_j} \mid X\, \mathbf{u} \text{ for } i \ne j",Observations are conditionally independent given the predictors and the random effects,stated
truncated_nbinom2,,no_missing_at_random,—,Observations are assumed not missing in a way that depends on the unobserved response,not_checked
cumulative_logit,,conditional_distribution,"P({response_symbol} \le k \mid \mathbf{X}_i) = \mathrm{logit}^{-1}(\theta_k - \mathbf{X}_i^{\!\top} \boldsymbol{\beta})","{response} is ordered categorical; for each category boundary k the log-odds of being in a lower-or-equal category is theta_k minus the linear predictor",stated
cumulative_logit,,ordered_categorical_response,{response_symbol} \in \{1\, 2\, \ldots\, K\},"{response} must be an ordered factor or a 1..K integer; the order of levels matters because the cumulative form treats lower-numbered categories as 'first'",your_responsibility
cumulative_logit,,proportional_odds,"\boldsymbol{\beta} \text{ is shared across all } K-1 \text{ cumulative log-odds equations}","The same slope vector applies to every category boundary (the proportional-odds assumption). Test this with a likelihood-ratio comparison against a partial-proportional-odds fit before reporting effect estimates as universal across categories.",your_responsibility
cumulative_logit,mu,linear_predictor,\eta_i = \mathbf{X}_i^{\!\top} \boldsymbol{\beta},"eta_i is the shared linear predictor (no intercept; the K-1 cutpoints theta_k act as category-specific intercepts)",stated
cumulative_logit,,thresholds_ordered,\theta_1 < \theta_2 < \ldots < \theta_{K-1},"The K-1 cutpoints are constrained to be strictly increasing, ensuring P(Y <= k) increases monotonically in k",implied
cumulative_logit,,independence,{response_symbol} \perp {response_symbol_j} \mid X \text{ for } i \ne j,Observations are conditionally independent given the predictors,implied
cumulative_logit,,independence_given_random_effects,"{response_symbol} \perp {response_symbol_j} \mid X\, \mathbf{u} \text{ for } i \ne j",Observations are conditionally independent given the predictors and the random effects,stated
cumulative_logit,,no_missing_at_random,—,Observations are assumed not missing in a way that depends on the unobserved response,not_checked
poisson,,zero_inflation_mixture,"P({response_symbol} = 0 \mid \mathbf{X}_i) = \pi_{\mathrm{zi}\, i} + (1 - \pi_{\mathrm{zi}\, i}) e^{-\mu_i}","With zero-inflation, the probability of an observed zero is a mixture: a structural-zero component pi_zi plus the Poisson chance of a sampled zero",stated
poisson,zi,linear_predictor,\mathrm{logit}(\pi_{\mathrm{zi}\, i}) = \alpha_0 + \sum_k \alpha_k V_{ki},"logit link on the zero-inflation probability; predictors determine the mixing weight on the structural-zero component",stated
nbinom2,,zero_inflation_mixture,"P({response_symbol} = 0 \mid \mathbf{X}_i) = \pi_{\mathrm{zi}\, i} + (1 - \pi_{\mathrm{zi}\, i}) \cdot \mathrm{NegBin}(0; \mu_i\, \exp(\sigma_i))","Mixture of a structural-zero component and the count distribution",stated
nbinom2,zi,linear_predictor,\mathrm{logit}(\pi_{\mathrm{zi}\, i}) = \alpha_0 + \sum_k \alpha_k V_{ki},"logit link on the zero-inflation probability",stated
poisson,,hurdle_two_part,"P({response_symbol} = 0) = \pi_{\mathrm{hu}\, i}; \quad P({response_symbol} = k \mid {response_symbol} > 0) = \mathrm{Poisson}^{+}(k; \mu_i)","Hurdle structure: first decide whether the count is zero (logit), then if non-zero draw from a zero-truncated count distribution",stated
poisson,hu,linear_predictor,\mathrm{logit}(\pi_{\mathrm{hu}\, i}) = \delta_0 + \sum_k \delta_k V_{ki},"logit link on the hurdle probability (probability of zero)",stated
nbinom2,,hurdle_two_part,"P({response_symbol} = 0) = \pi_{\mathrm{hu}\, i}; \quad P({response_symbol} = k \mid {response_symbol} > 0) = \mathrm{NegBin}^{+}(k; \mu_i\, \exp(\sigma_i))","Hurdle structure on nbinom2: logit for zero vs non-zero, then truncated nbinom2 for positives",stated
nbinom2,hu,linear_predictor,\mathrm{logit}(\pi_{\mathrm{hu}\, i}) = \delta_0 + \sum_k \delta_k V_{ki},"logit link on the hurdle probability",stated
truncated_nbinom2,,hurdle_two_part,"P({response_symbol} = 0) = \pi_{\mathrm{hu}\, i}; \quad P({response_symbol} = k \mid {response_symbol} > 0) = \mathrm{NegBin}^{+}(k; \mu_i\, \exp(\sigma_i))","Hurdle structure: first decide zero vs non-zero on the logit scale, then if non-zero draw from a zero-truncated negative binomial",stated
truncated_nbinom2,hu,linear_predictor,\mathrm{logit}(\pi_{\mathrm{hu}\, i}) = \delta_0 + \sum_k \delta_k V_{ki},"logit link on the hurdle probability (probability of a zero)",stated
